,,,,,,
 The Bodyguard ,Katherine Center,4.36 avg rating ," 1,610 ratings",score: 446,6 people voted
" In the Serpent's Wake (Tess of the Road, #2) ",Rachel Hartman,3.98 avg rating , 501 ratings,score: 445,5 people voted
 The Diamond Eye ,Kate Quinn,4.34 avg rating ," 18,823 ratings",score: 441,5 people voted
 The American Roommate Experiment ,Elena  Armas,4.40 avg rating , 207 ratings,score: 434,5 people voted
 Reckless Girls ,Rachel Hawkins,3.63 avg rating ," 50,355 ratings",score: 433,5 people voted
 The Wedding Crasher ,Mia Sosa,3.86 avg rating ," 6,650 ratings",score: 426,5 people voted
" The Hustler Next Door (Polson Falls, #2) ",K.A. Tucker,really liked it 4.00 avg rating , 8 ratings,score: 423,5 people voted
 Wild and Wicked Things ,Francesca  May,3.61 avg rating ," 1,247 ratings",score: 419,7 people voted
 The Book of Gothel ,Mary McMyne,4.21 avg rating , 58 ratings,score: 418,5 people voted
 Olga Dies Dreaming ,Xóchitl González,4.03 avg rating ," 15,401 ratings",score: 411,5 people voted
 The 99 Boyfriends of Micah Summers ,Adam  Sass,4.58 avg rating , 24 ratings,score: 408,5 people voted
 Young Mungo ,Douglas   Stuart,4.46 avg rating ," 6,023 ratings",score: 407,5 people voted
 The Golden Couple ,Greer Hendricks,4.03 avg rating ," 52,885 ratings",score: 406,5 people voted
 The Temperature of Me and You ,Brian Zepka,3.58 avg rating ," 1,059 ratings",score: 405,5 people voted
 She Gets the Girl ,Rachael Lippincott,4.26 avg rating ," 5,402 ratings",score: 403,5 people voted
 Witches Be Trippin' ,Ellie Aiden,4.74 avg rating , 27 ratings,score: 400,4 people voted
 The Things We Lost ,Maggie Giles,4.20 avg rating , 65 ratings,score: 398,4 people voted
 Less Is Lost ,Andrew Sean Greer,4.04 avg rating , 26 ratings,score: 397,4 people voted
 Places We've Never Been ,Kasie West,4.04 avg rating , 324 ratings,score: 396,5 people voted
" The Other Half of the Grave (Night Huntress, #1.1) ",Jeaniene Frost,4.51 avg rating ," 2,267 ratings",score: 395,4 people voted
" The Hunger of the Gods (The Bloodsworn Saga, #2) ",John Gwynne,4.61 avg rating ," 2,449 ratings",score: 391,5 people voted
 League of Liars ,Astrid Scholte,3.63 avg rating , 892 ratings,score: 384,5 people voted
" The Atlas Six (The Atlas, #1) ",Olivie Blake,3.92 avg rating ," 49,387 ratings",score: 384,6 people voted
 The Agathas ,Kathleen Glasgow,4.09 avg rating ," 1,220 ratings",score: 383,5 people voted
 Wingwalkers ,Taylor  Brown,3.89 avg rating , 143 ratings,score: 381,4 people voted
 Release the Wolves ,Stefan Bachmann,it was amazing 5.00 avg rating , 1 rating,score: 377,4 people voted
" Untitled (Dark Rise, #2) ",C.S. Pacat,4.96 avg rating , 24 ratings,score: 375,5 people voted
 The Fortune Men ,Nadifa Mohamed,3.85 avg rating ," 2,684 ratings",score: 373,4 people voted
" The Godborn and the King (The Raven and the Dove, #4) ",Kaitlyn Davis,4.44 avg rating , 36 ratings,score: 366,4 people voted
" Blood Scion (Blood Scion, #1) ",Deborah Falaye,4.06 avg rating ," 1,030 ratings",score: 366,5 people voted
 The Bone Shard War (The Drowning Empire #3) ,Andrea Stewart,really liked it 4.00 avg rating , 7 ratings,score: 366,4 people voted
 The House with the Golden Door (Wolf Den Trilogy #2) ,Elodie Harper,4.45 avg rating , 504 ratings,score: 365,4 people voted
 Alone Out Here ,Riley Redgate,3.63 avg rating , 310 ratings,score: 364,4 people voted
 A Flicker in the Dark ,Stacy Willingham,4.03 avg rating ," 60,094 ratings",score: 359,4 people voted
 Pretty Dead Queens ,Alexa Donne,4.44 avg rating , 59 ratings,score: 358,4 people voted
 Osmo Unknown and the Eightpenny Woods ,Catherynne M. Valente,4.57 avg rating , 70 ratings,score: 353,4 people voted
 Flip the Script ,Lyla Lee,4.12 avg rating , 121 ratings,score: 353,4 people voted
 The Feeling of Falling in Love ,Mason Deaver,4.39 avg rating , 46 ratings,score: 353,5 people voted
" Misrule (Malice Duology, #2) ",Heather   Walter,4.08 avg rating ," 1,216 ratings",score: 350,4 people voted
 The Resting Place ,Camilla Sten,3.67 avg rating ," 2,703 ratings",score: 350,4 people voted
 Accomplished: A Georgie Darcy Novel ,Amanda Quain,3.82 avg rating , 234 ratings,score: 350,4 people voted
" A Restless Truth (The Last Binding, #2) ",Freya Marske,4.64 avg rating , 22 ratings,score: 349,4 people voted
" The Darkening (The Darkening, #1) ",Sunya Mara,4.04 avg rating , 112 ratings,score: 347,5 people voted
 In Defense of Witches: The Legacy of the Witch Hunts and Why Women Are Still on Trial ,Mona Chollet,4.31 avg rating ," 7,834 ratings",score: 345,4 people voted
 Devotion ,Hannah Kent,3.93 avg rating ," 4,626 ratings",score: 344,4 people voted
" The Last Laugh (The Initial Insult, #2) ",Mindy McGinnis,4.19 avg rating , 768 ratings,score: 344,5 people voted
 Primal Animals ,Julia Lynn Rubin,3.43 avg rating , 250 ratings,score: 344,4 people voted
" Amongst Our Weapons (Rivers of London, #9) ",Ben Aaronovitch,4.42 avg rating ," 5,095 ratings",score: 337,4 people voted
 This Might Hurt ,Stephanie Wrobel,3.28 avg rating ," 3,868 ratings",score: 329,4 people voted
 The Violence ,Delilah S. Dawson,3.91 avg rating ," 2,368 ratings",score: 329,4 people voted
" You Were Made to Be Mine (The Palace of Rogues, #5) ",Julie Anne Long,3.94 avg rating , 63 ratings,score: 327,4 people voted
 The Book Eaters ,Sunyi Dean,4.23 avg rating , 203 ratings,score: 327,4 people voted
 Nothing More to Tell ,Karen M. McManus,4.39 avg rating , 185 ratings,score: 323,5 people voted
 Juniper & Thorn ,Ava Reid,4.22 avg rating , 285 ratings,score: 321,4 people voted
 Aces Wild: A Heist ,Amanda DeWitt,3.75 avg rating , 143 ratings,score: 319,4 people voted
" Wicked Beauty (Dark Olympus, #3) ",Katee Robert,4.17 avg rating , 929 ratings,score: 315,4 people voted
 In the Lives of Puppets ,T.J. Klune,4.83 avg rating , 6 ratings,score: 312,4 people voted
 Our Crooked Hearts ,Melissa Albert,4.24 avg rating , 422 ratings,score: 311,4 people voted
" Akata Woman (The Nsibidi Scripts, #3) ",Nnedi Okorafor,4.32 avg rating ," 1,304 ratings",score: 311,4 people voted
 The Younger Wife ,Sally Hepworth,3.89 avg rating ," 20,069 ratings",score: 308,4 people voted
 I Must Betray You ,Ruta Sepetys,4.47 avg rating ," 17,189 ratings",score: 306,4 people voted
 Wake the Bones ,Elizabeth Kilcoyne,3.82 avg rating , 225 ratings,score: 300,4 people voted
 The Stars Forgot Us ,R.J. Garcia,4.81 avg rating , 36 ratings,score: 300,3 people voted
 The Blue Bar ,Damyanti Biswas,4.83 avg rating , 6 ratings,score: 300,3 people voted
 Refined ,Tracie Breaux,4.57 avg rating , 21 ratings,score: 300,3 people voted
 My Government Means to Kill Me: A Novel ,Rasheed Newson,4.18 avg rating , 33 ratings,score: 296,3 people voted
 The Books of Jacob ,Olga Tokarczuk,4.12 avg rating ," 3,461 ratings",score: 295,3 people voted
" Take A Chance With Me (The O'Callaghans, #5; With Me in Seattle, #18) ",Kristen Proby,4.40 avg rating ," 1,666 ratings",score: 290,3 people voted
 Mindwalker ,Kate Dylan,4.96 avg rating , 55 ratings,score: 290,3 people voted
 Groupies ,Sarah Priscus,4.22 avg rating , 58 ratings,score: 288,3 people voted
 The Silence That Binds Us ,Joanna Ho,4.47 avg rating , 45 ratings,score: 286,3 people voted
 Seeing Strangers ,Sebastian J. Plata,4.50 avg rating , 4 ratings,score: 285,3 people voted
 The Dance Tree ,Kiran Millwood Hargrave,4.21 avg rating , 235 ratings,score: 283,3 people voted
" The Fruit Thief: or, One-Way Journey into the Interior ",Peter Handke,3.20 avg rating , 162 ratings,score: 283,3 people voted
 Fire Becomes Her ,Rosiee Thor,3.77 avg rating , 366 ratings,score: 282,4 people voted
 How to Sell a Haunted House ,Grady Hendrix,4.27 avg rating , 15 ratings,score: 281,4 people voted
 Her Majesty's Royal Coven (Her Majesty's Royal Coven #1) ,Juno Dawson,4.19 avg rating , 131 ratings,score: 280,3 people voted
 Blood Over Bright Haven ,M.L.  Wang,it was amazing 5.00 avg rating , 1 rating,score: 280,3 people voted
 When He's Sinful (The Olympus Pride #3) ,Suzanne Wright,4.23 avg rating ," 3,606 ratings",score: 280,3 people voted
" City of Gods and Monsters (House of Devils, #1) ",Kayla   Edwards,4.04 avg rating , 939 ratings,score: 276,3 people voted
 Edgewood ,Kristen Ciccarelli,3.86 avg rating , 938 ratings,score: 275,3 people voted
 All the Horses of Iceland ,Sarah Tolmie,3.63 avg rating , 473 ratings,score: 273,3 people voted
 The Mermaid in the Millpond ,Lucy Strange,3.97 avg rating , 138 ratings,score: 273,3 people voted
" Juniper Hill (The Edens, #2) ",Devney Perry,4.24 avg rating ," 15,381 ratings",score: 272,3 people voted
 The Honeys ,Ryan La Sala,4.58 avg rating , 72 ratings,score: 271,4 people voted
 The Book of Living Secrets ,Madeleine Roux,3.25 avg rating , 678 ratings,score: 266,3 people voted
 The Valkyrie's Daughter ,Tiana Warner,3.80 avg rating , 132 ratings,score: 266,4 people voted
 Last Dance on the Starlight Pier ,Sarah Bird,3.73 avg rating , 543 ratings,score: 265,3 people voted
" Blood Like Fate (Blood Like Magic, #2) ",Liselle Sambury,4.22 avg rating , 23 ratings,score: 265,3 people voted
" Highly Suspicious, Unfairly Cute ",Talia Hibbert,it was amazing 5.00 avg rating , 3 ratings,score: 262,3 people voted
" Lover Arisen (Black Dagger Brotherhood, #20) ",J.R. Ward,4.28 avg rating ," 3,249 ratings",score: 258,3 people voted
 Fairy Tale ,Stephen King,4.14 avg rating , 28 ratings,score: 253,3 people voted
 Cherish Farrah ,Bethany C. Morrow,3.15 avg rating ," 1,252 ratings",score: 251,3 people voted
 Devil House ,John Darnielle,3.41 avg rating ," 4,762 ratings",score: 249,3 people voted
 Untitled ,Untitled,4.80 avg rating , 5 ratings,score: 247,3 people voted
 Lakelore ,Anna-Marie McLemore,4.17 avg rating , 589 ratings,score: 247,3 people voted
 Reclaim the Stars ,Zoraida Córdova,3.91 avg rating , 487 ratings,score: 246,3 people voted
 The Shattered City (The Last Magician #4) ,Lisa   Maxwell,it was amazing 5.00 avg rating , 9 ratings,score: 244,3 people voted
 Peach Blossom Spring ,Melissa Fu,4.27 avg rating ," 4,796 ratings",score: 244,3 people voted
 The Memory Librarian: And Other Stories of Dirty Computer ,Janelle Monáe,3.99 avg rating , 574 ratings,score: 242,3 people voted
 Breath Better Spent: Living Black Girlhood ,DaMaris B. Hill,4.19 avg rating , 36 ratings,score: 239,3 people voted
 In Every Generation ,Kendare Blake,3.91 avg rating ," 1,417 ratings",score: 236,3 people voted
 Dark Breakers ,C.S.E. Cooney,4.38 avg rating , 32 ratings,score: 235,3 people voted
 Winterhorn ,Baiculescu Ovidiu Nicolae,4.62 avg rating , 34 ratings,score: 235,3 people voted
 Godslayers (Gearbreakers #2) ,Zoe Hana Mikuta,3.93 avg rating , 41 ratings,score: 227,3 people voted
 The Stars Between Us ,Cristin Terrill,3.59 avg rating , 145 ratings,score: 223,3 people voted
 The It Girl ,Ruth Ware,4.03 avg rating , 795 ratings,score: 219,3 people voted
 This Is Why They Hate Us ,Aaron H. Aceves,4.47 avg rating , 49 ratings,score: 218,3 people voted
 Lavender House ,Lev A.C. Rosen,4.40 avg rating , 15 ratings,score: 216,3 people voted
 Booked on a Feeling ,Jayci Lee,3.54 avg rating , 583 ratings,score: 216,3 people voted
 See You Yesterday ,Rachel Lynn Solomon,4.21 avg rating ," 1,771 ratings",score: 216,3 people voted
 Never Ever Getting Back Together ,Sophie Gonzales,4.22 avg rating , 213 ratings,score: 215,3 people voted
" Castles in Their Bones (Castles in Their Bones, #1) ",Laura Sebastian,4.08 avg rating ," 1,927 ratings",score: 213,3 people voted
 The Perfect Crimes of Marian Hayes ,Cat Sebastian,4.15 avg rating , 234 ratings,score: 212,3 people voted
 The World Cannot Give ,Tara Isabella Burton,3.53 avg rating , 674 ratings,score: 206,3 people voted
 The Ogress and the Orphans ,Kelly Barnhill,4.38 avg rating , 967 ratings,score: 205,3 people voted
 The Chandler Legacies ,Abdi Nazemian,3.73 avg rating , 853 ratings,score: 202,3 people voted
 Hester ,Laurie Lico Albanese,4.28 avg rating , 200 ratings,score: 201,3 people voted
 The Long-Forgotten Winter King (The Guild Codex: Unveiled #2) ,Annette Marie,4.48 avg rating ," 2,526 ratings",score: 200,2 people voted
 Speech and Debacles ,Heather DiAngelis,4.86 avg rating , 7 ratings,score: 200,2 people voted
" Arabelle's Story (Tales of Aloseria, #1) ",Rita A. Rubin,4.60 avg rating , 10 ratings,score: 200,2 people voted
 Little Foxes Took Up Matches ,Katya Kazbek,4.07 avg rating , 150 ratings,score: 200,2 people voted
 Afrotistic ,Kala Allen Omeiza,it was amazing 5.00 avg rating , 17 ratings,score: 200,2 people voted
" Magic Dark, Magic Divine (Warrior of the Divine Sword #1) ",A.J. Locke,4.19 avg rating , 90 ratings,score: 199,2 people voted
" Tear Down the Throne (Gargoyle Queen, #2) ",Jennifer Estep,4.29 avg rating , 510 ratings,score: 199,2 people voted
 All the Things We Don't Talk About ,Amy Feltman,4.11 avg rating , 63 ratings,score: 199,2 people voted
 The Second Death of Edie and Violet Bond ,Amanda Glaze,4.56 avg rating , 50 ratings,score: 199,2 people voted
" Forced Bonds (The Bonds That Tie, #4) ",J.  Bree,4.53 avg rating ," 5,474 ratings",score: 199,2 people voted
 Saint Death's Daughter (Saint Death #1) ,C.S.E. Cooney,3.80 avg rating , 259 ratings,score: 198,2 people voted
" Lucifer's Sin (Walker Security: Lucifer's Trilogy, #1) ",Lisa Renee Jones,4.35 avg rating , 396 ratings,score: 198,2 people voted
 The Twice-Scorned Lady of Shadow (The Guild Codex: Unveiled #3) ,Annette Marie,4.51 avg rating ," 1,177 ratings",score: 198,2 people voted
 The Photo Thief ,J.L. Delozier,0.00 avg rating , 0 ratings,score: 198,2 people voted
" Shadow Fallen (Dream-Hunters, #6) ",Sherrilyn Kenyon,4.23 avg rating , 795 ratings,score: 198,2 people voted
 Mammoth ,Brian  McBride,4.70 avg rating , 33 ratings,score: 198,2 people voted
" Ensnared (Knights of Brethren, #3) ",Jody Hedlund,4.90 avg rating , 21 ratings,score: 198,2 people voted
 Sweat: A History of Exercise ,Bill Hayes,3.41 avg rating , 167 ratings,score: 196,2 people voted
" Cold the Night, Fast the Wolves ",Meg  Long,3.93 avg rating ," 1,139 ratings",score: 196,3 people voted
 All the Lovers in the Night ,Mieko Kawakami,3.92 avg rating , 702 ratings,score: 195,2 people voted
" Below Zero (The STEMinist Novellas, #3) ",Ali Hazelwood,3.74 avg rating ," 5,498 ratings",score: 195,3 people voted
" Gold Lust (Sin, #3) ",Aleatha Romig,4.45 avg rating , 590 ratings,score: 195,2 people voted
 The Vermilion Emporium ,Jamie Pacton,it was amazing 5.00 avg rating , 3 ratings,score: 195,3 people voted
 The No-Show ,Beth O'Leary,really liked it 4.00 avg rating ," 11,445 ratings",score: 195,2 people voted
" Cold Silence (Cold Justice, #16; Cold Justice: Most Wanted, #1) ",Toni Anderson,4.90 avg rating , 42 ratings,score: 194,2 people voted
" The Dawnhounds (Against the Quiet, #1) ",Sascha Stronach,3.62 avg rating , 231 ratings,score: 194,2 people voted
 The Peacekeeper (The Good Lands #1) ,B.L. Blanchard,3.99 avg rating , 681 ratings,score: 194,2 people voted
 Murder at the Serpentine Bridge (Wrexford & Sloane #6) ,Andrea Penrose,4.20 avg rating , 5 ratings,score: 194,2 people voted
" Pirate's Paradox (Sentinels of Savannah, #6) ",Lisa Kessler,4.38 avg rating , 60 ratings,score: 193,2 people voted
 The Purveli (Aldebarian Alliance #3) ,Dianne Duvall,4.31 avg rating , 978 ratings,score: 193,2 people voted
 After Hours on Milagro Street ,Angelina M. Lopez,4.17 avg rating , 36 ratings,score: 193,2 people voted
" Red Side Story (Shades of Grey, #2) ",Jasper Fforde,4.02 avg rating , 81 ratings,score: 193,2 people voted
 Out of My Heart ,Sharon M. Draper,4.24 avg rating ," 3,739 ratings",score: 193,2 people voted
 Legacy of Violence: A History of the British Empire ,Caroline Elkins,4.42 avg rating , 67 ratings,score: 192,2 people voted
 The Last Grand Duchess ,Bryn Turnbull,3.77 avg rating ," 1,071 ratings",score: 192,2 people voted
 The Lighthouse on Moonglow Bay ,Lori Wilde,4.20 avg rating , 211 ratings,score: 192,2 people voted
" Golden Boys (Golden Boys, #1) ",Phil Stamper,3.93 avg rating ," 1,218 ratings",score: 192,2 people voted
" Bound to Fall (Colorado High Country, #10) ",Pamela Clare,4.39 avg rating , 292 ratings,score: 192,2 people voted
 Lessons in Chemistry ,Bonnie Garmus,4.45 avg rating ," 25,597 ratings",score: 192,2 people voted
" The Authority Gap: Why Women Are Still Taken Less Seriously Than Men, and What We Can Do About It ",Mary Ann Sieghart,4.45 avg rating , 581 ratings,score: 191,2 people voted
 The Ink Black Heart (Cormoran Strike #6) ,Robert Galbraith,4.78 avg rating , 23 ratings,score: 191,2 people voted
 An Honest Lie ,Tarryn Fisher,3.61 avg rating ," 4,715 ratings",score: 191,3 people voted
 Bastille vs. the Evil Librarians ,Brandon Sanderson,4.41 avg rating , 91 ratings,score: 191,2 people voted
 As Long as the Lemon Trees Grow ,Zoulfa Katouh,4.79 avg rating , 78 ratings,score: 190,2 people voted
 Mika in Real Life ,Emiko Jean,4.25 avg rating , 52 ratings,score: 190,2 people voted
 The Demon Tide (The Black Witch Chronicles #4) ,Laurie Forest,3.86 avg rating ," 2,204 ratings",score: 190,2 people voted
" Into the Narrowdark (The Last King of Osten Ard, #3.1) ",Tad Williams,3.80 avg rating , 5 ratings,score: 190,2 people voted
" All of Our Demise (All of Us Villains, #2) ",Amanda Foody,4.29 avg rating , 34 ratings,score: 189,3 people voted
 Unforgiven (Deep Ops #5) ,Rebecca Zanetti,4.55 avg rating , 184 ratings,score: 189,2 people voted
" Dark Horse (Orphan X, #7) ",Gregg Andrew Hurwitz,4.40 avg rating ," 6,637 ratings",score: 189,2 people voted
" The Blue, Beautiful World ",Karen Lord,4.50 avg rating , 2 ratings,score: 188,3 people voted
" Count Your Lucky Stars (Written in the Stars, #3) ",Alexandria Bellefleur,4.06 avg rating ," 6,864 ratings",score: 188,2 people voted
" The Inadequate Heir (The Bridge Kingdom, #3) ",Danielle L. Jensen,4.25 avg rating ," 2,635 ratings",score: 188,2 people voted
" Merciless Stars (Marked by Magic, #2) ",Candace Robinson,4.53 avg rating , 47 ratings,score: 187,2 people voted
" Midnight Dunes (Texas Murder Files, #3) ",Laura Griffin,4.34 avg rating , 319 ratings,score: 187,2 people voted
" Bitter Secrets (Singed, #2) ",Mia  Knight,3.21 avg rating , 118 ratings,score: 187,2 people voted
" Garrett's Destiny (Dark Protectors, #15) ",Rebecca Zanetti,4.33 avg rating , 6 ratings,score: 186,2 people voted
" Bad Actors (Slough House, #8) ",Mick Herron,4.47 avg rating ," 1,147 ratings",score: 185,2 people voted
 In the Middle of Hickory Lane ,Heather Webber,4.46 avg rating , 28 ratings,score: 185,2 people voted
 Only on the Weekends ,Dean Atta,3.86 avg rating , 103 ratings,score: 184,2 people voted
" Crash Site (Fiona Carver, #2) ",Rachel  Grant,4.33 avg rating , 658 ratings,score: 184,2 people voted
" Inheritance (American Royals, #0.5) ",Katharine McGee,3.72 avg rating ," 1,541 ratings",score: 184,2 people voted
 Jasmine Zumideh Needs a Win ,Susan Azim Boyer,4.49 avg rating , 39 ratings,score: 184,2 people voted
" Love, Decoded ",Jennifer Yen,3.51 avg rating , 383 ratings,score: 183,2 people voted
" Rivals (American Royals, #3) ",Katharine McGee,3.90 avg rating , 501 ratings,score: 182,2 people voted
 A Perilous Perspective (Lady Darby Mystery #10) ,Anna Lee Huber,4.38 avg rating , 936 ratings,score: 181,2 people voted
 Descent ,Sam Mariano,3.89 avg rating ," 2,792 ratings",score: 181,2 people voted
 Harbinger ,Wen Spencer,4.29 avg rating , 388 ratings,score: 180,2 people voted
 I'll Be You ,Janelle Brown,3.81 avg rating ," 3,018 ratings",score: 180,2 people voted
" Gallows Bridge (The Harlequin Crew, #5) ",Caroline Peckham,4.27 avg rating , 30 ratings,score: 179,2 people voted
" The Bullet That Missed (Thursday Murder Club, #3) ",Richard Osman,4.21 avg rating , 82 ratings,score: 178,2 people voted
" Rogues: True Stories of Grifters, Killers, Rebels and Crooks ",Patrick Radden Keefe,4.30 avg rating , 40 ratings,score: 178,2 people voted
" When I Say Yes (Necklace Trilogy, #3) ",Lisa Renee Jones,4.33 avg rating , 615 ratings,score: 178,2 people voted
" The Bride Goes Rogue (The Fifth Avenue Rebels, #3) ",Joanna Shupe,4.31 avg rating , 584 ratings,score: 178,2 people voted
 A Million to One ,Adiba Jaigirdar,4.38 avg rating , 39 ratings,score: 177,2 people voted
 The Sun Is Also a Star ,Nicola Yoon,4.02 avg rating ," 266,934 ratings",score: 177,2 people voted
 Tell Me an Ending ,Jo Harkin,3.64 avg rating ," 1,678 ratings",score: 176,2 people voted
 Last Resort ,Andrew Lipstein,3.52 avg rating , 460 ratings,score: 175,2 people voted
 Transitional ,Munroe Bergdorf,2.67 avg rating , 3 ratings,score: 175,2 people voted
 A Half-Built Garden ,Ruthanna Emrys,4.17 avg rating , 6 ratings,score: 175,2 people voted
" Endgame Romance (Lost Daughter of a Serial Killer, #3) ",C.M. Stunich,4.55 avg rating , 80 ratings,score: 175,2 people voted
 The Tsarina's Daughter ,Ellen Alpsten,really liked it 4.00 avg rating , 631 ratings,score: 174,2 people voted
" Unlock Your Storybook Heart (You Are Your Own Fairy Tale, #3) ",Amanda Lovelace,3.96 avg rating ," 1,313 ratings",score: 173,2 people voted
" The Deepest of Secrets (Rockton, #7) ",Kelley Armstrong,4.19 avg rating ," 3,196 ratings",score: 173,2 people voted
 Admissions: A Memoir of Surviving Boarding School ,Kendra   James,3.72 avg rating ," 1,036 ratings",score: 173,2 people voted
 Heroic Hearts ,Jim Butcher,4.32 avg rating , 874 ratings,score: 173,2 people voted
" A Duchess by Midnight (Awakened by a Kiss, #3) ",Charis Michaels,3.42 avg rating , 33 ratings,score: 173,2 people voted
 King of Midnight (Midnight Breed #18) ,Lara Adrian,4.68 avg rating , 69 ratings,score: 172,2 people voted
 The Wilderwomen ,Ruth Emmie Lang,4.02 avg rating , 189 ratings,score: 172,2 people voted
 Brother Alive ,Zain  Khalid,4.60 avg rating , 10 ratings,score: 172,2 people voted
" A Rip Through Time (A Rip Through Time, #1) ",Kelley Armstrong,4.21 avg rating , 402 ratings,score: 171,2 people voted
 Daphne ,Josh Malerman,really liked it 4.00 avg rating , 59 ratings,score: 171,2 people voted
" The Justice of Kings (Empire of the Wolf, #1) ",Richard  Swan,4.11 avg rating ," 1,389 ratings",score: 171,2 people voted
 Lighthouse Way (Huckleberry Bay #1) ,Kristen Proby,4.27 avg rating , 593 ratings,score: 171,2 people voted
" The War That Made the Roman Empire: Antony, Cleopatra, and Octavian at Actium ",Barry S. Strauss,4.09 avg rating , 174 ratings,score: 170,2 people voted
" The Locked Room (Ruth Galloway Mysteries, #14) ",Elly Griffiths,4.47 avg rating ," 2,439 ratings",score: 170,2 people voted
" Stars & Garters (The Encore Trilogy, #1) ",Thursday Owusu,it was amazing 5.00 avg rating , 1 rating,score: 169,2 people voted
 The Favor ,Nora Murphy,4.02 avg rating , 699 ratings,score: 169,2 people voted
 A Show for Two ,Tashie Bhuiyan,4.14 avg rating ," 1,202 ratings",score: 168,2 people voted
" Gwendy's Final Task (The Button Box, #3) ",Stephen King,4.16 avg rating ," 5,423 ratings",score: 168,2 people voted
" Hijack the Seas (Cassandra Palmer, #13) ",Karen Chance,4.43 avg rating , 7 ratings,score: 168,2 people voted
 Stay Awake ,Megan Goldin,4.15 avg rating ," 1,431 ratings",score: 167,2 people voted
